epoch: 3 	 iteration: 539/6240 	 elapsed time: 4716.09	 mean loss prob: nan	 mean loss cls: 27358523225239688660437633597440.00000
epoch: 3 	 iteration: 549/6240 	 elapsed time: 4803.76	 mean loss prob: nan	 mean loss cls: 30138731036085318270901366554624.00000
epoch: 3 	 iteration: 559/6240 	 elapsed time: 4889.61	 mean loss prob: nan	 mean loss cls: 30617528524795331384802096971776.00000
epoch: 3 	 iteration: 569/6240 	 elapsed time: 4974.95	 mean loss prob: nan	 mean loss cls: 31081572282802767564254713217024.00000
epoch: 3 	 iteration: 579/6240 	 elapsed time: 5060.25	 mean loss prob: nan	 mean loss cls: 22787001670438278416644771414016.00000
epoch: 3 	 iteration: 589/6240 	 elapsed time: 5145.57	 mean loss prob: nan	 mean loss cls: 31492350769197983182269775347712.00000
epoch: 3 	 iteration: 599/6240 	 elapsed time: 5232.13	 mean loss prob: nan	 mean loss cls: 31087179280754140214367000461312.00000
epoch: 3 	 iteration: 609/6240 	 elapsed time: 5319.68	 mean loss prob: nan	 mean loss cls: 34772379288756724307982379122688.00000
epoch: 3 	 iteration: 619/6240 	 elapsed time: 5407.23	 mean loss prob: nan	 mean loss cls: 24654557530133875253505920335872.00000
epoch: 4 	 iteration: 625/6240 	 elapsed time: 5459.79	 mean loss prob: nan	 mean loss cls: 2765848189960247045126572998656.00000
epoch: 4 	 iteration: 635/6240 	 elapsed time: 5547.40	 mean loss prob: nan	 mean loss cls: 37356683088385442489943325671424.00000
epoch: 4 	 iteration: 645/6240 	 elapsed time: 5634.96	 mean loss prob: nan	 mean loss cls: 29741847943060753200620377210880.00000
epoch: 4 	 iteration: 655/6240 	 elapsed time: 5722.40	 mean loss prob: nan	 mean loss cls: 25083286147098728885507019767808.00000
epoch: 4 	 iteration: 665/6240 	 elapsed time: 5807.88	 mean loss prob: nan	 mean loss cls: 29663171050720233133930499276800.00000
epoch: 4 	 iteration: 675/6240 	 elapsed time: 5893.35	 mean loss prob: nan	 mean loss cls: 29692531023175394018067413467136.00000
epoch: 4 	 iteration: 685/6240 	 elapsed time: 5978.77	 mean loss prob: nan	 mean loss cls: 26465893503514113375226533249024.00000
epoch: 4 	 iteration: 695/6240 	 elapsed time: 6064.23	 mean loss prob: nan	 mean loss cls: 31976907580512640389558805987328.00000
epoch: 4 	 iteration: 705/6240 	 elapsed time: 6149.83	 mean loss prob: nan	 mean loss cls: 27863462525873048515612210364416.00000
epoch: 4 	 iteration: 715/6240 	 elapsed time: 6235.44	 mean loss prob: nan	 mean loss cls: 31524892634410369770394516193280.00000
epoch: 4 	 iteration: 725/6240 	 elapsed time: 6320.95	 mean loss prob: nan	 mean loss cls: 27399590435331997613502402396160.00000
